module_code,module_name,coordinator,year,semester,category,skill_name,level
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Graphic Design,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Modelling,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Presentation Software,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Remote Meeting/Collaborative Software,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Remote Sensing (data collection and analysis),0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Social Media,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Spreadsheet Creation and Management,2
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Statistical Programmes,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,computational,Word Processing,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Application of Remote Observations,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Conducting Transects,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Core Skills,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Drone Observations,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Environmental Impact Assessment,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,GPS Usage,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Health and Safety Competency,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Mapping Skills,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Sampling: In-situ Monitoring,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Sampling: Physical Collection,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,field,Species Monitoring,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Accurate Result Reporting,3
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Air Quality Analysis,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Chemical Handling,0
BIOU6BE,Behavioural Ecology,Andre Gilburn,3,6,lab,Developing and Implementing SOPs,0
